bgg_id,title,year_published,game_weight,avg_rating,min_players,max_players,num_owned,num_want,num_wish,mfg_playtime,com_min_playtime,com_max_playtime,mfg_age_rec,num_user_ratings
192321,Rory's Story Cubes: Scooby-Doo,2016,1,6.9,1,99,209,10,44,10,10,10,6,44
192322,Rory's Story Cubes: Looney Tunes,2016,0,6.8,1,99,183,6,45,10,10,10,6,30
192323,Rory's Story Cubes: Rescue,2016,1,6.6,1,99,278,13,57,10,10,10,6,51
192324,Rory's Story Cubes: Medieval,2016,0,6.8,1,99,336,11,70,10,10,10,6,72
192334,Vikings on Board,2016,2,6.2,2,4,1922,12,156,60,30,60,8,766
192343,Bubblee Pop,2016,1,6.4,1,2,1641,11,92,20,20,20,8,1167
192344,Booo!,2017,2,6.4,2,6,134,4,32,30,30,30,7,82
192345,KeskifA?,2016,1,6.3,4,16,274,3,14,15,15,15,8,122
192346,Edenia,2016,2,6.3,2,4,261,4,47,30,30,30,8,149
192349,Risky Adventure,2016,2,5.7,2,4,858,11,81,45,45,45,8,283
192351,World Monuments,2016,1,6.2,2,4,1654,24,131,45,45,45,8,795
192352,Super-Vampire,2016,1,5.8,2,4,404,8,31,20,20,20,6,141
192353,Spooky Castle,2016,1,5.4,2,4,343,9,30,20,20,20,6,120
192355,Rory's Story Cubes: Powers,2016,0,6.8,1,99,310,14,66,10,10,10,6,68
192401,Dungeon Time,2017,2,6.6,1,5,1108,15,130,60,10,60,8,494
192409,Clown Standoff,2016,1,4.8,2,6,106,1,15,10,10,10,8,65
192455,First Martians: Adventures on the Red Planet,2017,4,6.5,1,4,9911,142,2137,90,60,90,10,3145
192457,Cry Havoc,2016,3,7.2,2,4,9969,261,2036,120,60,120,10,6178
192458,51st State: Master Set,2016,3,7.6,1,4,8285,359,2072,90,60,90,14,5614
192467,Cat Tower: Kickstarter Edition,2016,0,6.2,2,7,163,2,13,20,15,20,6,67
192496,Clash of the Cards,2016,2,6.5,2,6,242,1,21,40,20,40,8,67
192500,Brynk,2016,1,6.2,2,99,65,3,16,30,15,30,7,46
192508,The Goonies: Adventure Card Game,2016,2,6.4,1,4,874,37,155,45,30,45,14,315
192547,Go Cuckoo!,2016,1,6.7,2,5,1682,40,255,15,10,15,4,964
192605,Iliad: Heroes of Troy,2016,2,6.3,2,4,194,7,32,45,30,45,12,85
192619,Smiths of Winterforge,2018,2,6.9,1,6,839,36,211,120,20,120,14,343
192623,Emergence: A Game of Teamwork and Deception,2016,2,6.1,3,6,536,5,49,90,35,90,14,178
192634,Revolution Road,2017,3,7.4,1,2,198,16,49,180,120,180,10,33
192635,Life Is Life,2016,2,5.7,3,5,186,1,17,30,30,30,8,72
192638,Multiuniversum,2016,2,6.6,1,5,2791,33,238,40,20,40,12,1378
192656,Nightmarium,2014,1,6.4,2,5,792,2,63,30,10,30,10,448
192663,Fleet Commander: Genesis,2016,3,7.8,2,4,456,10,59,120,30,120,12,161
192668,Flag Dash,2016,2,6.2,2,4,744,16,82,40,30,40,8,217
192673,Martians: A Story of Civilization,2016,4,6.5,1,4,2189,97,626,120,90,120,14,893
